"","Date","Name","QC_Flag","QA_Flag","Reservoir_Capacity_ac_ft","Reservoir_Storage_Volume_Previous_Year_ac_ft","Reservoir_Storage_Volume_ac_ft","Median_Reservoir_Storage_Volume_1981_2010_ac_ft","Source"
"156","2022-11-01","Lake Powell",NA,"U",24322000,7180773,5832351,14400000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"157","2022-11-01","Lost Creek Reservoir",NA,"U",22500,9033,8821,13000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"158","2022-11-01","Lower Enterprise",NA,"",2600,1056,360,300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"159","2022-11-01","Miller Flat Reservoir",NA,"",5200,1359,1139,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"160","2022-11-01","Millsite",NA,"",16700,3678,7521,9000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"161","2022-11-01","Minersville Reservoir",NA,"",23300,1600,1115,3700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"162","2022-11-01","Moon Lake Reservoir",NA,"U",35800,14470,18602,13500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"163","2022-11-01","Otter Creek Reservoir",NA,"",52500,9658,5608,18300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"164","2022-11-01","Panguitch Lake",NA,"",22300,4500,5956,10700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"165","2022-11-01","Pineview Reservoir",NA,"U",110100,19434,34330,53300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"166","2022-11-01","Piute Reservoir",NA,"",71800,4221,2304,16200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"167","2022-11-01","Porcupine Reservoir",NA,"",11300,3346,5461,5100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"168","2022-11-01","Quail Creek",NA,"",40000,23390,24404,24200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"169","2022-11-01","Red Fleet Reservoir",NA,"U",25700,8602,7957,17300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"170","2022-11-01","Rockport Reservoir",NA,"U",60900,19352,35116,35000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
